Name,Description,CreatedAt,PushedAt,UpdatedAt,CommitCount
academicsanalysis,"R scripts for data/stats analysis done for Academics team",2019-11-25T16:09:39Z,2020-03-03T20:13:30Z,2020-03-03T20:13:41Z,7
Admissions-Channel-Automation,"null",2020-01-15T08:06:27Z,2020-07-29T09:39:56Z,2020-07-29T09:39:58Z,53
angular2-json-schema-form,"null",2018-05-25T12:59:36Z,2018-05-26T02:14:12Z,2018-05-26T02:14:10Z,4
apps.kaptest.com,"Kaplan Apps is a hub for accessing the applications you may need to perform your job.",2015-01-30T20:21:42Z,2019-07-15T17:42:54Z,2019-07-15T17:42:56Z,86
appserver_config,"Config files for Data Science App Servers (Beast, Cloudbeast, etc.)",2016-07-21T20:30:08Z,2021-01-04T14:41:19Z,2021-01-04T14:41:21Z,297
Arrivals,"Control Tower dashboard for class consolidation team",2011-10-03T20:28:13Z,2020-06-16T18:37:41Z,2020-06-16T18:37:43Z,1111
atom-access,"Atom Access Management",2019-09-25T15:17:37Z,2020-11-03T16:47:16Z,2020-10-26T15:50:08Z,16
atom-access-control,"Access control server for atom",2018-11-12T19:22:02Z,2018-11-12T19:22:03Z,2018-11-12T19:22:05Z,1
atom-access-management-js,"null",2019-06-18T21:19:26Z,2019-06-18T21:19:38Z,2019-06-18T21:19:29Z,1
atom-act-lambda-sequence,"null",2020-04-30T16:42:34Z,2020-06-22T17:57:07Z,2020-06-18T14:46:03Z,19
atom-activity-load-generator,"Generate some load tests for Atom.Activity.Worker",2016-08-11T19:49:41Z,2016-08-22T16:43:25Z,2018-11-19T17:00:23Z,8
atom-admin-api,"null",2020-08-20T02:17:00Z,2021-01-12T15:26:57Z,2021-01-07T04:09:10Z,1
atom-admin-user-lambda,"Lambda function to listen to Admin stream and update First Name and Last Name in Reporting MongoDB",2020-08-26T16:24:22Z,2020-08-26T16:24:24Z,2020-08-26T16:24:27Z,1
atom-angular-add-event,"Atom Angular 1.x Add event reusable component",2016-08-09T14:45:31Z,2017-09-22T17:04:19Z,2016-08-29T17:28:08Z,57
atom-angular-analytics,"Angular Analytics Reusable service",2016-08-09T21:16:10Z,2016-09-28T15:45:15Z,2016-08-10T21:01:56Z,21
atom-api-external-sso,"null",2020-12-15T17:03:19Z,2021-01-13T14:13:13Z,2021-01-12T07:31:59Z,0
Atom-Api-Pipeline-Utils,"Utils for pipeline ",2020-06-19T23:02:05Z,2020-07-28T15:51:08Z,2020-07-28T15:51:07Z,2
atom-apollo-nursing-prod-automation," Automation scripts related to scheduling, kaptest login, take test and validations",2019-07-25T17:16:33Z,2019-07-25T19:15:08Z,2019-07-25T19:15:12Z,9
atom-apollo-nursing-qa-automation,"Automation for scheduling test, kaptest login , test mode and review page",2019-07-25T19:52:47Z,2019-10-08T19:43:53Z,2019-10-08T19:43:55Z,215
atom-architecture,"null",2017-09-12T19:22:04Z,2017-09-13T16:19:30Z,2017-09-12T19:22:04Z,6
atom-assessment-configuration,"null",2017-08-01T21:26:43Z,2017-10-25T18:29:40Z,2017-08-07T14:36:33Z,46
atom-auth,"Atom authentication library",2018-09-27T17:13:05Z,2020-12-11T16:40:16Z,2020-09-02T14:48:13Z,15
